Order ID,Product ID,Product Name,Customer ID,Order Date,Category,Shipping Date,Shipping Method,Status,Payment Method,Total Sales Amount
1,38,Self-enabling leadingedge utilization,13,4/5/2025 9:06,Born,06:50.0,FedEx,shipped,paypal,521.85
2,35,Inverse holistic open architecture,15,3/5/2025 8:27,Recent,NULL,NULL,processing,credit_card,119.75
2,46,Exclusive dedicated middleware,15,3/5/2025 8:27,Hold,NULL,NULL,processing,credit_card,317.16
3,36,Total 24hour synergy,9,4/21/2025 21:19,Half,NULL,NULL,cancelled,NULL,993.24
3,83,Grass-roots 4thgeneration open system,9,4/21/2025 21:19,Recent,NULL,NULL,cancelled,NULL,2080.75
3,29,Synchronized multi-tasking hierarchy,9,4/21/2025 21:19,Hold,NULL,NULL,cancelled,NULL,3294.4
3,48,Compatible modular policy,9,4/21/2025 21:19,Half,NULL,NULL,cancelled,NULL,144.16
3,13,Horizontal didactic standardization,9,4/21/2025 21:19,Recent,NULL,NULL,cancelled,NULL,1199
4,32,Re-contextualized 24hour Local Area Network,19,4/15/2025 2:16,Hold,NULL,NULL,cancelled,NULL,4669.35
4,38,Self-enabling leadingedge utilization,19,4/15/2025 2:16,Born,NULL,NULL,cancelled,NULL,521.85
4,53,Realigned discrete Internet solution,19,4/15/2025 2:16,Recent,NULL,NULL,cancelled,NULL,624.36
4,3,Function-based well-modulated intranet,19,4/15/2025 2:16,Half,NULL,NULL,cancelled,NULL,2137.26
5,7,Fundamental grid-enabled definition,31,2/11/2025 17:30,Part,NULL,NULL,cancelled,NULL,946.9
5,64,Optimized content-based help-desk,31,2/11/2025 17:30,Half,NULL,NULL,cancelled,NULL,784.58
5,45,Balanced content-based conglomeration,31,2/11/2025 17:30,Born,NULL,NULL,cancelled,NULL,1054.17
6,35,Inverse holistic open architecture,8,1/17/2025 21:10,Recent,10:53.0,UPS,shipped,credit_card,95.8
6,6,Multi-channeled foreground adapter,8,1/17/2025 21:10,Speech,10:53.0,UPS,shipped,credit_card,3117
6,43,Networked logistical hub,8,1/17/2025 21:10,Hold,10:53.0,UPS,shipped,credit_card,2966.64
7,95,Switchable 24hour access,45,2/28/2025 18:02,Recent,NULL,NULL,cancelled,NULL,124.09
7,98,Horizontal contextually-based approach,45,2/28/2025 18:02,Program,NULL,NULL,cancelled,NULL,320.34
7,19,Right-sized didactic function,45,2/28/2025 18:02,Adult,NULL,NULL,cancelled,NULL,1473.95
8,8,Business-focused zero tolerance functionalities,8,3/12/2025 4:09,Program,09:19.0,UPS,delivered,credit_card,2140.72
9,95,Switchable 24hour access,45,1/3/2025 14:50,Recent,50:19.0,DHL,delivered,bank_transfer,496.36
9,39,Down-sized multi-state process improvement,45,1/3/2025 14:50,Adult,50:19.0,DHL,delivered,bank_transfer,1334.04
9,97,Compatible client-driven matrix,45,1/3/2025 14:50,Half,50:19.0,DHL,delivered,bank_transfer,2563.2
9,2,Synergized uniform contingency,45,1/3/2025 14:50,Adult,50:19.0,DHL,delivered,bank_transfer,3390.75
9,98,Horizontal contextually-based approach,45,1/3/2025 14:50,Program,50:19.0,DHL,delivered,bank_transfer,320.34
10,59,Stand-alone context-sensitive strategy,46,4/4/2025 7:15,Adult,NULL,NULL,pending,bank_transfer,1787.55
10,46,Exclusive dedicated middleware,46,4/4/2025 7:15,Hold,NULL,NULL,pending,bank_transfer,105.72
10,73,Public-key intermediate support,46,4/4/2025 7:15,Adult,NULL,NULL,pending,bank_transfer,200.85
10,66,Upgradable optimal interface,46,4/4/2025 7:15,Half,NULL,NULL,pending,bank_transfer,2920.8
11,81,De-engineered bi-directional portal,1,3/16/2025 21:32,Window,32:52.0,UPS,shipped,credit_card,433.23
